Name,Patronym,"Family name",Gender,Owns,"Attestation ID",ind.Name,ind.Patronym,"ind.Family name",ind.Gender,Biography,PID,Probability,"Museum no.",Duplicate,Publication,Archive,Type,Date,"Julian date","Place of writing",Has,"Cdli URL","Nabucco URL","Achemenet URL","Oracc URL","British Museum URL","Tablet ID",Role,Title,"Type and objects"
"Anonymous group",,,Male,Land,42836,-,-,-,-,-,-,"less probable","CBS 5306",,"BE 9, 88",Murašû,"Legal document","10.III.41 Art I",424,Nippur,,https://cdli.ucla.edu/P261500,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2044714,,,4943,"land owner
passive (mentioned in relation to sb or sth else)",sēpiru/sepīru,"TypeLegal documentSubtypelease contract (ana sūti)"
"Anonymous group",Itti-Marduk-balāṭu,Egibi,Male,Land,54504,"Anonymous Group",Itti-Marduk-balāṭu,Egibi,Male,"The brothers of Marduk-nāṣir-apli/Itti-Marduk-balāṭu//Egibi.",23929,"highly probable","BM 30865",,"Wunsch 2000b, no. 44","Egibi Nūr-Sîn","Legal document","18.[-].14 Dar I",508/507,Babylon,,https://cdli.ucla.edu/P370914,https://nabucco.arts.kuleuven.be/item/29029,http://www.achemenet.com/en/item/?/textual-sources/texts-by-publication/Wunsch_CM_20/1328329,-,https://www.britishmuseum.org/collection/object/W_1876-1117-592,6422,"co-owner
land owner",-,"TypeLegal documentSubtypelease contract (ana sūti)"
"Anonymous group",Itti-Marduk-balāṭu,Egibi,Male,Land,54539,"Anonymous Group",Itti-Marduk-balāṭu,Egibi,Male,"The brothers of Marduk-nāṣir-apli/Itti-Marduk-balāṭu//Egibi.",23929,"highly probable","Liverpool 29-11-77, 20",,"Wunsch 2000b, no. 45","Egibi Nūr-Sîn","Legal document","16.I.14 Dar I",508,Babylon,,-,https://nabucco.arts.kuleuven.be/item/28960,http://www.achemenet.com/en/item/?/textual-sources/texts-by-publication/Wunsch_CM_20/1328332,-,-,6429,"co-owner
land owner",-,"TypeLegal documentSubtypelease contract (ana sūti)"
"Anonymous group",Itti-Marduk-balāṭu,Egibi,Male,Land,57164,"Anonymous Group",Itti-Marduk-balāṭu,Egibi,Male,"The brothers of Marduk-nāṣir-apli/Itti-Marduk-balāṭu//Egibi.",23929,"highly probable","NY 51",,"Wunsch 2000b, no. 239","Egibi Nūr-Sîn","Legal document","08.[-].14 Dar I",508/507,Broken/Unclear,,-,https://nabucco.arts.kuleuven.be/item/29833,http://www.achemenet.com/en/item/?/textual-sources/texts-by-publication/Wunsch_CM_20/1328905,-,-,6744,lessor,-,"TypeLegal documentSubtypelease contract (ana sūti)"
"Anonymous group",Nabû-šarru-ibni,,Male,Land,54536,"Anonymous Group",Nabû-šarru-ibni,-,Male,,24580,"highly probable","Liverpool 29-11-77, 20",,"Wunsch 2000b, no. 45","Egibi Nūr-Sîn","Legal document","16.I.14 Dar I",508,Babylon,,-,https://nabucco.arts.kuleuven.be/item/28960,http://www.achemenet.com/en/item/?/textual-sources/texts-by-publication/Wunsch_CM_20/1328332,-,-,6429,neighbour,-,"TypeLegal documentSubtypelease contract (ana sūti)"
Anu-erība,Anu-mukīn-apli,,Male,,37384,-,-,-,-,-,-,"less probable","CBS 5415",,"BE 9, 65",Murašû,"Legal document","28.[-].38 Art I",427/426,Nippur,"Seals, Fingernails",https://cdli.ucla.edu/P261609,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2044118,,,4240,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypelease contract (ana sūti)"
Aplāya,Bābu-iqīša,,Male,,31045,-,-,-,-,-,-,"less probable","CBS 5315",,"BE 9, 40",Murašû,"Legal document","22.IV.35 Art I",430,Nippur,,https://cdli.ucla.edu/P261509,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2043498,,,3559,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypelease contract (ana sūti)"
Aplāya,Bābu-iqīša,,Male,,40486,-,-,-,-,-,-,"less probable","CBS 5419",,"BE 9, 72",Murašû,"Legal document","15.VI.40 Art I",425,Nippur,Seals,https://cdli.ucla.edu/P261613,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2044309,,,4693,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypelease contract (ana sūti)"
Aplāya,Enlil-balāssu-iqbi,,Male,,1056,-,-,-,-,-,-,"less probable","CBS 5205",,"Stolper 1985, no. 11",Murašû,"Legal document","10.III.40 Art I",425,Nippur,,https://cdli.ucla.edu/P261398,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/3486739,,,131,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypelease contract (ana sūti)"
Aplāya,Enlil-balāssu-iqbi,,Male,,29491,-,-,-,-,-,-,"less probable","CBS 5396",,"BE 9, 34",Murašû,"Legal document","07.IV.34 Art I",431,Nippur,,https://cdli.ucla.edu/P261590,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2043331,,,3442,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypelease contract (ana sūti)"
Aplāya,Enlil-balāssu-iqbi,,Male,,29536,-,-,-,-,-,-,"less probable","CBS 5398",,"BE 9, 35",Murašû,"Legal document","[-].XII.34 Art I",430,Nippur,,https://cdli.ucla.edu/P261592,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2043355,,,3445,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypelease contract (ana sūti)"
Aplāya,Enlil-balāssu-iqbi,,Male,,33040,-,-,-,-,-,-,"less probable","Unknown (poss. H.V. Hilprecht)",,"BE 9, 45",Murašû,"Legal document","20.V.36 Art I",429,Nippur,Seals,https://cdli.ucla.edu/P453403,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2043617,,,3781,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypelease contract (ana sūti)"
Aplāya,Enlil-balāssu-iqbi,,Male,,37366,-,-,-,-,-,-,"less probable","CBS 5415",,"BE 9, 65",Murašû,"Legal document","28.[-].38 Art I",427/426,Nippur,"Seals, Fingernails",https://cdli.ucla.edu/P261609,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2044118,,,4240,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypelease contract (ana sūti)"
Aplāya,Enlil-balāssu-iqbi,,Male,,40456,-,-,-,-,-,-,"less probable","CBS 5419",,"BE 9, 72",Murašû,"Legal document","15.VI.40 Art I",425,Nippur,Seals,https://cdli.ucla.edu/P261613,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2044309,,,4693,"sealer of the tablet
witness, regular (mukinnu)",-,"TypeLegal documentSubtypelease contract (ana sūti)"
Aplāya,Enlil-balāssu-iqbi,,Male,,42779,-,-,-,-,-,-,"less probable","CBS 5305",,"BE 9, 86a",Murašû,"Legal document","[-].III.41 Art I",424,Nippur,"Seals, Fingernails",https://cdli.ucla.edu/P261499,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2044667,,,4934,"sealer of the tablet",-,"TypeLegal documentSubtypelease contract (ana sūti)"
