Name,Patronym,"Family name",Gender,Owns,"Attestation ID",ind.Name,ind.Patronym,"ind.Family name",ind.Gender,Biography,PID,Probability,"Museum no.",Duplicate,Publication,Archive,Type,Date,"Julian date","Place of writing",Has,"Cdli URL","Nabucco URL","Achemenet URL","Oracc URL","British Museum URL","Tablet ID",Role,Title,"Type and objects"
Nanāya-iddin,Dādia,,Male,,8468,Nanāya-iddin,Dādia,-,Male,,12561,"highly probable","IM 65084",,"Hunger 1970, no. 17",Šamšēa,"Legal document","06?.XI?.06? -",-,Uruk,,-,-,-,-,-,1052,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypesummary"
Nanāya-iddin,Dummuqu,Ašlāku,Male,,8594,Nanāya-iddin,Dummuqu,Ašlāku,Male,,12560,"highly probable","IM 65084",,"Hunger 1970, no. 17",Šamšēa,"Legal document","06?.XI?.06? -",-,Uruk,,-,-,-,-,-,1052,-,-,"TypeLegal documentSubtypesummary"
Nanāya-īpuš,Ahu-šubši,,Male,,8554,Nanāya-īpuš,Ahu-šubši,-,Male,,12558,"highly probable","IM 65084",,"Hunger 1970, no. 17",Šamšēa,"Legal document","06?.XI?.06? -",-,Uruk,,-,-,-,-,-,1052,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypesummary"
Na’id-Marduk,Iddin-Nabû-[...],,Male,,8716,Na’id-Marduk,Iddin-Nabû,-,Male,,12483,"highly probable","IM 65084",,"Hunger 1970, no. 17",Šamšēa,"Legal document","06?.XI?.06? -",-,Uruk,,-,-,-,-,-,1052,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypesummary"
Na’id-Nergal,Nanāya-ēreš,,Male,,8677,Na’id-Nergal,Nanāya-ēreš,-,Male,,12598,"highly probable","IM 65084",,"Hunger 1970, no. 17",Šamšēa,"Legal document","06?.XI?.06? -",-,Uruk,,-,-,-,-,-,1052,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypesummary"
Nebuchadnezzar,,,Male,,8351,Nebuchadnezzar,-,-,Male,,16374,"highly probable","IM 65084",,"Hunger 1970, no. 17",Šamšēa,"Legal document","06?.XI?.06? -",-,Uruk,,-,-,-,-,-,1052,"king in date","šar Bābili","TypeLegal documentSubtypesummary"
Nergal-ibni,Ša-Nabû-šū,,Male,,8701,Nergal-ibni,Ša-Nabû-šū,-,Male,,12553,"highly probable","IM 65084",,"Hunger 1970, no. 17",Šamšēa,"Legal document","06?.XI?.06? -",-,Uruk,,-,-,-,-,-,1052,debtor,-,"TypeLegal documentSubtypesummary"
Nergal-iddin,Dummuqu,,Male,,8437,Nergal-iddin,Dummuqu,-,Male,,12551,"highly probable","IM 65084",,"Hunger 1970, no. 17",Šamšēa,"Legal document","06?.XI?.06? -",-,Uruk,,-,-,-,-,-,1052,"scribe (ṭupšarru)",-,"TypeLegal documentSubtypesummary"
Nergal-uballiṭ,Līdānu,,Male,,8458,Nergal-uballiṭ,Līdānu,-,Male,,12481,"highly probable","IM 65084",,"Hunger 1970, no. 17",Šamšēa,"Legal document","06?.XI?.06? -",-,Uruk,,-,-,-,-,-,1052,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypesummary"
Nergal-ušēzib,Nādinu,,Male,,8411,Nergal-ušēzib,Nādinu,-,Male,,12549,"highly probable","IM 65084",,"Hunger 1970, no. 17",Šamšēa,"Legal document","06?.XI?.06? -",-,Uruk,,-,-,-,-,-,1052,"scribe (ṭupšarru)",-,"TypeLegal documentSubtypesummary"
Rēmūtu,Kudurru,,Male,,8457,Rēmūtu,Kudurru,-,Male,,12540,"highly probable","IM 65084",,"Hunger 1970, no. 17",Šamšēa,"Legal document","06?.XI?.06? -",-,Uruk,,-,-,-,-,-,1052,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypesummary"
Ša-Bēl-lišlim,,,Male,,8674,Ša-Bēl-lišlim,-,-,Male,,12536,"highly probable","IM 65084",,"Hunger 1970, no. 17",Šamšēa,"Legal document","06?.XI?.06? -",-,Uruk,,-,-,-,-,-,1052,"passive (mentioned in relation to sb or sth else)",-,"TypeLegal documentSubtypesummary"
Ṣillāya,Nabû-gamil,,Male,,8695,Ṣillāya,Nabû-gamil,-,Male,,12537,"highly probable","IM 65084",,"Hunger 1970, no. 17",Šamšēa,"Legal document","06?.XI?.06? -",-,Uruk,,-,-,-,-,-,1052,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypesummary"
Šulāya,Ibnāya,,Male,,8455,Šulāya,Ibnāya,-,Male,,12531,"highly probable","IM 65084",,"Hunger 1970, no. 17",Šamšēa,"Legal document","06?.XI?.06? -",-,Uruk,,-,-,-,-,-,1052,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypesummary"
Šulāya,Šuginû,Rē’i-ginê,Male,,8676,Šulāya,Šuginû,Rē’i-ginê,Male,,12530,"highly probable","IM 65084",,"Hunger 1970, no. 17",Šamšēa,"Legal document","06?.XI?.06? -",-,Uruk,,-,-,-,-,-,1052,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypesummary"
Šumu-ukīn,,,Male,,8466,Šumu-ukīn,-,-,Male,,12529,"highly probable","IM 65084",,"Hunger 1970, no. 17",Šamšēa,"Legal document","06?.XI?.06? -",-,Uruk,,-,-,-,-,-,1052,guarantor,-,"TypeLegal documentSubtypesummary"
Šumu-ukīn,Nabû-ušallim,,Male,,8696,Šumu-ukīn,Nabû-ušallim,-,Male,,12474,"highly probable","IM 65084",,"Hunger 1970, no. 17",Šamšēa,"Legal document","06?.XI?.06? -",-,Uruk,,-,-,-,-,-,1052,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypesummary"
Tabnēa,Bēl-nāṣir,,Male,,8699,Tabnēa,Bēl-nāṣir,-,Male,,12527,"highly probable","IM 65084",,"Hunger 1970, no. 17",Šamšēa,"Legal document","06?.XI?.06? -",-,Uruk,,-,-,-,-,-,1052,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypesummary"
Zēria,Nabû-ušēzib,Nuhatimmu,Male,,8575,Zēria,Nabû-ušēzib,Nuhatimmu,Male,,12470,"highly probable","IM 65084",,"Hunger 1970, no. 17",Šamšēa,"Legal document","06?.XI?.06? -",-,Uruk,,-,-,-,-,-,1052,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypesummary"
Zēria,Šumāya,,Male,,8706,Zēria,Šumāya,-,Male,,12522,"highly probable","IM 65084",,"Hunger 1970, no. 17",Šamšēa,"Legal document","06?.XI?.06? -",-,Uruk,,-,-,-,-,-,1052,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypesummary"
